id,name,alias,iata,icao,callsign,country,active
24,American Airlines,\N,AA,AAL,AMERICAN,United States,Y
28,Asiana Airlines,\N,OZ,AAR,ASIANA,South Korea,Y
83,Adria Airways,\N,JP,ADR,ADRIA,Slovenia,Y
90,Air Europa,\N,UX,AEA,EUROPA,Spain,Y
96,Aegean Airlines,\N,A3,AEE,AEGEAN,Greece,Y
130,Aeroflot Russian Airlines,\N,SU,AFL,AEROFLOT,Russia,Y
137,Air France,\N,AF,AFR,AIRFRANS,France,Y
153,Air Namibia,\N,SW,NMB,NAMIBIA,Namibia,Y
218,Air India Limited,\N,AI,AIC,AIRINDIA,India,Y
225,Air Tahiti Nui,\N,TN,THT,TAHITI AIRLINES,France,Y
242,Air Malta,\N,KM,AMC,AIR MALTA,Malta,Y
312,British Midland Regional Limited,\N,BM,,,United Kingdom,Y
319,Air Seychelles,\N,HM,SEY,SEYCHELLES,Seychelles,Y
321,AeroMéxico,\N,AM,AMX,AEROMEXICO,Mexico,Y
324,All Nippon Airways,ANA All Nippon Airways,NH,ANA,ALL NIPPON,Japan,Y
330,Air Canada,\N,AC,ACA,AIR CANADA,Canada,Y
333,Air Baltic,\N,BT,BTI,AIRBALTIC,Latvia,Y
345,Air New Zealand,\N,NZ,ANZ,NEW ZEALAND,New Zealand,Y
412,Aerolineas Argentinas,\N,AR,ARG,ARGENTINA,Argentina,Y
439,Alaska Airlines,\N,AS,ASA, Inc.,United States,Y
462,Astrakhan Airlines,\N,OB,ASZ,AIR ASTRAKHAN,Russia,Y
491,Austrian Airlines,\N,OS,AUA,AUSTRIAN,Austria,Y
515,Avianca - Aerovias Nacionales de Colombia,\N,AV,AVA, S.A.,Colombia,Y
596,Alitalia,\N,AZ,AZA,ALITALIA,Italy,Y
751,Air China,\N,CA,CCA,AIR CHINA,China,Y
837,Aer Lingus,\N,EI,EIN,SHAMROCK,Ireland,Y
879,Air Pacific,\N,FJ,FJI,PACIFIC,Fiji,Y
995,Atlasjet,\N,KK,KKK,ATLASJET,Turkey,Y
