flight_number,departure_airport,arrival_airport,airline_code,departure_time,departure_timestamp,arrival_time,arrival_timestamp
8539,FRA,AMS,AI,2017-11-07 21:00:00,1510088400,2017-11-07 22:10:00,1510092600
7976,YYZ,PEK,HU,2017-11-06 16:10:00,1509984600,2017-11-07 18:35:00,1510079700
8334,FRA,PVG,TP,2017-11-09 19:00:00,1510254000,2017-11-10 13:10:00,1510319400
9361,AMS,MUC,DL,2017-11-10 12:10:00,1510315800,2017-11-10 13:35:00,1510320900
1810,MUC,BCN,LH,2017-11-10 08:40:00,1510303200,2017-11-10 10:45:00,1510310700
314,ICN,PVG,CZ,2017-11-07 12:00:00,1510056000,2017-11-07 13:20:00,1510060800
9842,BKK,PVG,MU,2017-11-10 09:25:00,1510305900,2017-11-10 14:50:00,1510325400
3655,LHR,CDG,VN,2017-11-09 06:15:00,1510208100,2017-11-09 08:30:00,1510216200
7574,MUC,MAN,SA,2017-11-10 08:40:00,1510303200,2017-11-10 09:45:00,1510307100
272,PVG,PEK,MU,2017-11-09 15:30:00,1510241400,2017-11-09 17:50:00,1510249800
6847,LHR,ORD,GF,2017-11-10 11:50:00,1510314600,2017-11-10 14:50:00,1510325400
7162,MUC,LHR,CX,2017-11-09 15:55:00,1510242900,2017-11-09 17:00:00,1510246800
1809,BCN,MUC,LH,2017-11-06 08:55:00,1509958500,2017-11-06 10:55:00,1509965700
1142,ORD,ATL,UA,2017-11-06 06:25:00,1509949500,2017-11-06 09:26:00,1509960360
3009,LAX,ORD,QF,2017-11-09 17:20:00,1510248000,2017-11-09 23:25:00,1510269900
113,BCN,MIA,AA,2017-11-10 10:55:00,1510311300,2017-11-10 15:10:00,1510326600
404,LAX,DEN,F9,2017-11-07 10:15:00,1510049700,2017-11-07 13:39:00,1510061940
902,CDG,ICN,KE,2017-11-06 21:00:00,1510002000,2017-11-07 15:55:00,1510070100
6704,ICN,LAX,AM,2017-11-06 20:00:00,1509998400,2017-11-06 14:00:00,1509976800
7288,MAD,LGW,BA,2017-11-07 18:20:00,1510078800,2017-11-07 19:40:00,1510083600
7145,CTU,PEK,SA,2017-11-07 18:00:00,1510077600,2017-11-07 20:40:00,1510087200
2156,CDG,HKG,KL,2017-11-07 23:30:00,1510097400,2017-11-08 18:35:00,1510166100
9457,MIA,JFK,MH,2017-11-06 07:00:00,1509951600,2017-11-06 09:53:00,1509961980
6926,LAX,DEN,WS,2017-11-10 09:30:00,1510306200,2017-11-10 13:07:00,1510319220
793,DFW,ORD,UA,2017-11-08 12:20:00,1510143600,2017-11-08 14:45:00,1510152300
4865,JFK,LAX,VS,2017-11-06 11:50:00,1509969000,2017-11-06 15:06:00,1509980760
855,ICN,PEK,KE,2017-11-10 11:30:00,1510313400,2017-11-10 12:50:00,1510318200
8036,ATL,MIA,G3,2017-11-09 08:30:00,1510216200,2017-11-09 10:20:00,1510222800
690,SIN,HKG,CX,2017-11-08 12:55:00,1510145700,2017-11-08 17:05:00,1510160700
7637,MUC,FRA,TP,2017-11-06 14:00:00,1509976800,2017-11-06 15:05:00,1509980700
3039,CAN,SIN,CZ,2017-11-08 12:40:00,1510144800,2017-11-08 16:50:00,1510159800
4748,LAX,DEN,DL,2017-11-07 06:25:00,1510035900,2017-11-07 10:02:00,1510048920
5158,LAX,YYZ,VA,2017-11-09 11:55:00,1510228500,2017-11-09 19:26:00,1510255560
6779,MAD,CDG,9W,2017-11-06 06:40:00,1509950400,2017-11-06 08:55:00,1509958500
9374,JFK,MIA,MH,2017-11-06 15:30:00,1509982200,2017-11-06 18:57:00,1509994620
3291,CDG,JFK,EY,2017-11-08 09:55:00,1510134900,2017-11-08 12:45:00,1510145100
8027,LAX,ATL,G3,2017-11-10 09:30:00,1510306200,2017-11-10 16:43:00,1510332180
4756,DFW,ATL,QF,2017-11-10 07:00:00,1510297200,2017-11-10 10:04:00,1510308240
4858,ORD,DFW,AC,2017-11-10 21:16:00,1510348560,2017-11-10 23:53:00,1510357980
41,JFK,LAX,DL,2017-11-10 16:50:00,1510332600,2017-11-10 20:15:00,1510344900
4213,LHR,ORD,IB,2017-11-08 17:05:00,1510160700,2017-11-08 20:00:00,1510171200
4785,ATL,CDG,9W,2017-11-08 17:25:00,1510161900,2017-11-09 07:40:00,1510213200
109,AMS,FCO,AZ,2017-11-07 17:50:00,1510077000,2017-11-07 20:00:00,1510084800
7790,DEN,ORD,CX,2017-11-08 07:20:00,1510125600,2017-11-08 10:53:00,1510138380
6023,CDG,LHR,AM,2017-11-10 13:20:00,1510320000,2017-11-10 13:45:00,1510321500
6616,AMS,BRU,AM,2017-11-08 16:55:00,1510160100,2017-11-08 17:35:00,1510162500
1180,CDG,LHR,AF,2017-11-08 18:55:00,1510167300,2017-11-08 19:15:00,1510168500
5484,ATL,YYZ,KL,2017-11-07 15:02:00,1510066920,2017-11-07 17:19:00,1510075140
6616,AMS,BRU,AM,2017-11-06 16:55:00,1509987300,2017-11-06 17:35:00,1509989700
4371,JFK,LHR,DL,2017-11-10 08:15:00,1510301700,2017-11-10 20:10:00,1510344600
2705,ATL,DEN,DL,2017-11-06 14:18:00,1509977880,2017-11-06 15:47:00,1509983220
5781,LHR,ORD,AY,2017-11-09 11:50:00,1510228200,2017-11-09 14:50:00,1510239000
9705,AMS,BCN,MF,2017-11-10 14:25:00,1510323900,2017-11-10 16:35:00,1510331700
325,FRA,SIN,SQ,2017-11-07 21:55:00,1510091700,2017-11-08 17:15:00,1510161300
4198,PEK,CTU,CA,2017-11-08 13:00:00,1510146000,2017-11-08 16:05:00,1510157100
2629,ATL,CDG,AZ,2017-11-10 17:25:00,1510334700,2017-11-11 07:40:00,1510386000
5501,DFW,YYZ,WS,2017-11-09 07:01:00,1510210860,2017-11-09 11:01:00,1510225260
9662,LAX,ORD,NZ,2017-11-10 23:59:00,1510358340,2017-11-11 05:51:00,1510379460
150,ORD,CDG,AA,2017-11-08 18:20:00,1510165200,2017-11-09 09:10:00,1510218600
1007,AMS,LHR,KQ,2017-11-07 08:35:00,1510043700,2017-11-07 09:00:00,1510045200
5640,HKG,SIN,VA,2017-11-06 09:05:00,1509959100,2017-11-06 13:05:00,1509973500
5640,HKG,SIN,VA,2017-11-07 09:05:00,1510045500,2017-11-07 13:05:00,1510059900
6038,MAN,AMS,BT,2017-11-06 10:50:00,1509965400,2017-11-06 13:10:00,1509973800
9349,MAD,FRA,UA,2017-11-10 13:20:00,1510320000,2017-11-10 15:55:00,1510329300
3181,BRU,FCO,SN,2017-11-08 14:50:00,1510152600,2017-11-08 16:50:00,1510159800
7343,LHR,YYZ,AI,2017-11-07 12:00:00,1510056000,2017-11-07 14:50:00,1510066200
107,LHR,DXB,BA,2017-11-10 12:35:00,1510317300,2017-11-10 23:45:00,1510357500
6780,DEN,JFK,EK,2017-11-08 23:59:00,1510185540,2017-11-09 05:41:00,1510206060
6786,CAN,PEK,DL,2017-11-08 07:00:00,1510124400,2017-11-08 10:05:00,1510135500
8635,JFK,DEN,LY,2017-11-08 20:03:00,1510171380,2017-11-08 22:49:00,1510181340
8814,ORD,AMS,9W,2017-11-06 16:30:00,1509985800,2017-11-07 07:10:00,1510038600
806,BKK,PVG,CA,2017-11-07 04:20:00,1510028400,2017-11-07 08:50:00,1510044600
8652,AMS,MAN,JU,2017-11-08 21:45:00,1510177500,2017-11-08 22:00:00,1510178400
9394,BCN,AMS,CI,2017-11-07 06:00:00,1510034400,2017-11-07 08:30:00,1510043400
6537,PEK,HKG,CA,2017-11-09 03:05:00,1510196700,2017-11-09 06:35:00,1510209300
978,SIN,BKK,SQ,2017-11-06 18:45:00,1509993900,2017-11-06 20:10:00,1509999000
101,CAN,SIN,TR,2017-11-09 10:45:00,1510224300,2017-11-09 15:05:00,1510239900
8427,LAX,ICN,LA,2017-11-09 11:00:00,1510225200,2017-11-10 17:40:00,1510335600
6661,CTU,PVG,EU,2017-11-08 16:20:00,1510158000,2017-11-08 19:05:00,1510167900
4968,JFK,DFW,AM,2017-11-10 18:25:00,1510338300,2017-11-10 21:44:00,1510350240
107,LHR,DXB,BA,2017-11-07 12:35:00,1510058100,2017-11-07 23:45:00,1510098300
4002,DFW,MAD,AY,2017-11-09 16:40:00,1510245600,2017-11-10 08:40:00,1510303200
1406,FRA,AMS,A3,2017-11-10 21:00:00,1510347600,2017-11-10 22:10:00,1510351800
