id,name,city,country,iata,icao,latitude,longitude,altitude,timezone,dst,tz_time_zone,type,source
8,Godthaab / Nuuk Airport,Godthaab,Greenland,GOH,BGGH,64.19090271,-51.6781005859,283,-3,E,America/Godthab,airport,OurAirports
173,Northwest Regional Airport Terrace-Kitimat,Terrace,Canada,YXT,CYXT,54.468498,-128.576009,713,-8,A,America/Vancouver,airport,OurAirports
349,Saarbrücken Airport,Saarbruecken,Germany,SCN,EDDR,49.214599609400004,7.10950994492,1058,1,E,Europe/Berlin,airport,OurAirports
386,Bayreuth Airport,Bayreuth,Germany,BYU,EDQD,49.98500061035156,11.640000343322754,1601,1,E,Europe/Berlin,airport,OurAirports
398,Finsterwalde/Schacksdorf Airport,Soest,Germany,\N,EDUS,51.607498,13.743611,384,1,E,Europe/Berlin,airport,OurAirports
558,RAF Wattisham,Wattisham,United Kingdom,\N,EGUW,52.1273002625,0.956264019012,284,0,E,Europe/London,airport,OurAirports
592,Soesterberg Air Base,Soesterberg,Netherlands,UTC,EHSB,52.1273002625,5.27618980408,66,1,E,Europe/Amsterdam,airport,OurAirports
659,Skien Airport,Skien,Norway,SKE,ENSN,59.185001373291016,9.566940307617188,463,1,E,Europe/Oslo,airport,OurAirports
719,Lycksele Airport,Lycksele,Sweden,LYC,ESNL,64.54830169677734,18.71619987487793,705,1,E,Europe/Stockholm,airport,OurAirports
794,Bram Fischer International Airport,Bloemfontein,South Africa,BFN,FABL,-29.092699050900002,26.302400589,4458,2,U,Africa/Johannesburg,airport,OurAirports
795,Bethlehem Airport,Bethlehem,South Africa,\N,FABM,-28.2483997345,28.3360996246,5561,2,U,Africa/Johannesburg,airport,OurAirports
797,Cape Town International Airport,Cape Town,South Africa,CPT,FACT,-33.9648017883,18.6016998291,151,2,U,Africa/Johannesburg,airport,OurAirports
1011,Thornhill Air Base,Gwert,Zimbabwe,GWE,FVTL,-19.436399459838867,29.861900329589844,4680,2,U,Africa/Harare,airport,OurAirports
1034,Buta Zega Airport,Buta Zega,Congo (Kinshasa),\N,FZKJ,2.818350076675415,24.793699264526367,1378,2,U,Africa/Lubumbashi,airport,OurAirports
1068,Moulay Ali Cherif Airport,Er-rachidia,Morocco,ERH,GMFK,31.9475002289,-4.39833021164,3428,0,N,Africa/Casablanca,airport,OurAirports
1158,Marsa Brega Airport,Marsa Brega,Libya,\N,HLMB,30.37809944152832,19.576400756835938,50,2,N,Africa/Tripoli,airport,OurAirports
1305,Ancenis Airport,Ancenis,France,\N,LFFI,47.40810012817383,-1.1775000095367432,111,1,E,Europe/Paris,airport,OurAirports
1402,Vesoul-Frotey Airport,Vesoul-frotey,France,\N,LFQW,47.6376,6.20392,1249,1,E,Europe/Paris,airport,OurAirports
1521,Tortolì Airport,Tortoli,Italy,TTB,LIET,39.9188,9.68298,23,1,E,Europe/Rome,airport,OurAirports
1681,Güvercinlik Airport,Ankara,Turkey,\N,LTAB,39.9350013733,32.7407989502,2687,2,E,Europe/Istanbul,airport,OurAirports
1744,Vršac International Airport,Vrsac,Serbia,\N,LYVR,45.1469,21.3099,276,1,E,Europe/Belgrade,airport,OurAirports
1765,Bananera Airport,Bananera,Guatemala,\N,MGBN,15.47350025177002,-88.83719635009766,130,-6,U,America/Guatemala,airport,OurAirports
1857,Zamora Airport,Zamora,Mexico,ZMM,MMZM,20.045000076293945,-102.2760009765625,5141,-6,S,America/Mexico_City,airport,OurAirports
1885,Juan Santamaria International Airport,San Jose,Costa Rica,SJO,MROC,9.993860244750977,-84.20880126953125,3021,-6,U,America/Costa_Rica,airport,OurAirports
1947,Staniel Cay Airport,Staniel Cay,Bahamas,\N,MYES,24.169099807739258,-76.43910217285156,5,-5,U,America/Nassau,airport,OurAirports
2009,Christchurch International Airport,Christchurch,New Zealand,CHC,NZCH,-43.48939895629883,172.53199768066406,123,12,Z,Pacific/Auckland,airport,OurAirports
