flight_number,departure_airport,arrival_airport,airline_code,departure_time,departure_timestamp,arrival_time,arrival_timestamp
630,FCO,MIA,AZ,2017-11-06 10:40:00,1509964800,2017-11-06 16:05:00,1509984300
9800,FCO,MIA,AF,2017-11-06 10:40:00,1509964800,2017-11-06 16:05:00,1509984300
3427,FCO,MIA,KL,2017-11-06 10:40:00,1509964800,2017-11-06 16:05:00,1509984300
6598,FCO,MIA,DL,2017-11-06 10:40:00,1509964800,2017-11-06 16:05:00,1509984300
630,FCO,MIA,AZ,2017-11-07 10:40:00,1510051200,2017-11-07 16:05:00,1510070700
9800,FCO,MIA,AF,2017-11-07 10:40:00,1510051200,2017-11-07 16:05:00,1510070700
3427,FCO,MIA,KL,2017-11-07 10:40:00,1510051200,2017-11-07 16:05:00,1510070700
6598,FCO,MIA,DL,2017-11-07 10:40:00,1510051200,2017-11-07 16:05:00,1510070700
630,FCO,MIA,AZ,2017-11-08 10:40:00,1510137600,2017-11-08 16:05:00,1510157100
9800,FCO,MIA,AF,2017-11-08 10:40:00,1510137600,2017-11-08 16:05:00,1510157100
3427,FCO,MIA,KL,2017-11-08 10:40:00,1510137600,2017-11-08 16:05:00,1510157100
6598,FCO,MIA,DL,2017-11-08 10:40:00,1510137600,2017-11-08 16:05:00,1510157100
630,FCO,MIA,AZ,2017-11-09 10:40:00,1510224000,2017-11-09 16:05:00,1510243500
9800,FCO,MIA,AF,2017-11-09 10:40:00,1510224000,2017-11-09 16:05:00,1510243500
3427,FCO,MIA,KL,2017-11-09 10:40:00,1510224000,2017-11-09 16:05:00,1510243500
6598,FCO,MIA,DL,2017-11-09 10:40:00,1510224000,2017-11-09 16:05:00,1510243500
630,FCO,MIA,AZ,2017-11-10 10:40:00,1510310400,2017-11-10 16:05:00,1510329900
9800,FCO,MIA,AF,2017-11-10 10:40:00,1510310400,2017-11-10 16:05:00,1510329900
3427,FCO,MIA,KL,2017-11-10 10:40:00,1510310400,2017-11-10 16:05:00,1510329900
6598,FCO,MIA,DL,2017-11-10 10:40:00,1510310400,2017-11-10 16:05:00,1510329900
900,FRA,LHR,LH,2017-11-06 07:55:00,1509954900,2017-11-06 08:40:00,1509957600
8818,FRA,LHR,UA,2017-11-06 07:55:00,1509954900,2017-11-06 08:40:00,1509957600
904,FRA,LHR,LH,2017-11-06 11:00:00,1509966000,2017-11-06 11:45:00,1509968700
8811,FRA,LHR,UA,2017-11-06 11:00:00,1509966000,2017-11-06 11:45:00,1509968700
924,FRA,LHR,LH,2017-11-06 07:00:00,1509951600,2017-11-06 07:45:00,1509954300
8809,FRA,LHR,UA,2017-11-06 07:00:00,1509951600,2017-11-06 07:45:00,1509954300
6233,FRA,LHR,NH,2017-11-06 07:00:00,1509951600,2017-11-06 07:45:00,1509954300
909,FRA,LHR,BA,2017-11-06 17:40:00,1509990000,2017-11-06 18:25:00,1509992700
7820,FRA,LHR,JL,2017-11-06 17:40:00,1509990000,2017-11-06 18:25:00,1509992700
906,FRA,LHR,LH,2017-11-06 12:00:00,1509969600,2017-11-06 12:45:00,1509972300
4202,FRA,LHR,NZ,2017-11-06 12:00:00,1509969600,2017-11-06 12:45:00,1509972300
8815,FRA,LHR,UA,2017-11-06 12:00:00,1509969600,2017-11-06 12:45:00,1509972300
1606,FRA,LHR,A3,2017-11-06 12:00:00,1509969600,2017-11-06 12:45:00,1509972300
914,FRA,LHR,LH,2017-11-06 16:00:00,1509984000,2017-11-06 16:45:00,1509986700
901,FRA,LHR,BA,2017-11-06 07:30:00,1509953400,2017-11-06 08:20:00,1509956400
6577,FRA,LHR,AA,2017-11-06 07:30:00,1509953400,2017-11-06 08:20:00,1509956400
918,FRA,LHR,LH,2017-11-06 18:00:00,1509991200,2017-11-06 18:45:00,1509993900
905,FRA,LHR,BA,2017-11-06 15:05:00,1509980700,2017-11-06 15:55:00,1509983700
6581,FRA,LHR,AA,2017-11-06 15:05:00,1509980700,2017-11-06 15:55:00,1509983700
7872,FRA,LHR,JL,2017-11-06 15:05:00,1509980700,2017-11-06 15:55:00,1509983700
913,FRA,LHR,BA,2017-11-06 20:10:00,1509999000,2017-11-06 20:55:00,1510001700
7134,FRA,LHR,JL,2017-11-06 20:10:00,1509999000,2017-11-06 20:55:00,1510001700
903,FRA,LHR,BA,2017-11-06 10:55:00,1509965700,2017-11-06 11:50:00,1509969000
6579,FRA,LHR,AA,2017-11-06 10:55:00,1509965700,2017-11-06 11:50:00,1509969000
920,FRA,LHR,LH,2017-11-06 20:00:00,1509998400,2017-11-06 20:45:00,1510001100
6519,FRA,LHR,AV,2017-11-06 20:00:00,1509998400,2017-11-06 20:45:00,1510001100
1610,FRA,LHR,A3,2017-11-06 20:00:00,1509998400,2017-11-06 20:45:00,1510001100
908,FRA,LHR,LH,2017-11-06 14:00:00,1509976800,2017-11-06 14:45:00,1509979500
9100,FRA,LHR,UA,2017-11-06 14:00:00,1509976800,2017-11-06 14:45:00,1509979500
922,FRA,LHR,LH,2017-11-06 21:30:00,1510003800,2017-11-06 22:15:00,1510006500
902,FRA,LHR,LH,2017-11-06 09:00:00,1509958800,2017-11-06 09:45:00,1509961500
8856,FRA,LHR,UA,2017-11-06 09:00:00,1509958800,2017-11-06 09:45:00,1509961500
910,FRA,LHR,LH,2017-11-06 15:00:00,1509980400,2017-11-06 15:45:00,1509983100
907,FRA,LHR,BA,2017-11-06 12:05:00,1509969900,2017-11-06 13:00:00,1509973200
7870,FRA,LHR,JL,2017-11-06 12:05:00,1509969900,2017-11-06 13:00:00,1509973200
6259,FRA,LHR,AA,2017-11-06 12:05:00,1509969900,2017-11-06 13:00:00,1509973200
911,FRA,LHR,BA,2017-11-06 18:45:00,1509993900,2017-11-06 19:30:00,1509996600
7132,FRA,LHR,JL,2017-11-06 18:45:00,1509993900,2017-11-06 19:30:00,1509996600
916,FRA,LHR,LH,2017-11-06 17:00:00,1509987600,2017-11-06 17:45:00,1509990300
6139,FRA,LHR,NH,2017-11-06 17:00:00,1509987600,2017-11-06 17:45:00,1509990300
904,FRA,LHR,LH,2017-11-07 11:00:00,1510052400,2017-11-07 11:45:00,1510055100
8811,FRA,LHR,UA,2017-11-07 11:00:00,1510052400,2017-11-07 11:45:00,1510055100
